Lemma,ConstraintRatio,KStrategy,B-Cubed Precision,B-Cubed Recall,F-B-Cubed,Method
concevoir,0.15,oracle,1.0,1.0,0.999999995,COP-KMeans
interroger,0.15,oracle,1.0,1.0,0.999999995,COP-KMeans
confirmer,0.15,oracle,0.3918803418803418,0.4444235588972431,0.4165013554424187,COP-KMeans
transformer,0.15,oracle,1.0,1.0,0.999999995,COP-KMeans
manifester,0.15,oracle,0.7557000822306945,0.7510320367463226,0.7533588233927401,COP-KMeans
interpeller,0.15,oracle,1.0,1.0,0.999999995,COP-KMeans
signer,0.15,oracle,0.8933333333333333,0.9023333333333333,0.8978107740360765,COP-KMeans
rester,0.15,oracle,0.5781683626271972,0.5981689232753061,0.5879986091560958,COP-KMeans
tuer,0.15,oracle,0.7433583959899751,0.7014577259475221,0.7218004817206496,COP-KMeans
indiquer,0.15,oracle,0.948936170212766,0.9361702127659575,0.9425099609000421,COP-KMeans
conduire,0.15,oracle,0.49975839763073815,0.5933806146572104,0.5425603498181867,COP-KMeans
situer,0.15,oracle,0.897,0.7078014184397163,0.7912478903482921,COP-KMeans
aider,0.15,oracle,0.3183673469387755,0.4758746355685131,0.381503236118591,COP-KMeans
poursuivre,0.15,oracle,0.9607201309328969,0.9590834697217676,0.9599010976882859,COP-KMeans
profiter,0.15,oracle,0.9733333333333333,0.9466666666666668,0.9598148098157795,COP-KMeans
détenir,0.15,oracle,0.560985598252679,0.560985598252679,0.560985593252679,COP-KMeans
lire,0.15,oracle,0.8400000000000002,0.8611428571428573,0.8504400353098086,COP-KMeans
contenir,0.15,oracle,0.5174800354924579,0.5615160349854227,0.5385994313995055,COP-KMeans
noter,0.15,oracle,1.0,1.0,0.999999995,COP-KMeans
dater,0.15,oracle,1.0,1.0,0.999999995,COP-KMeans
adopter,0.15,oracle,0.7646739130434783,0.5853333333333333,0.6630914438727318,COP-KMeans
intervenir,0.15,oracle,0.5777198097284026,0.5777198097284028,0.5777198047284028,COP-KMeans
conclure,0.15,oracle,0.855,0.96875,0.9083276166781213,COP-KMeans
disputer,0.15,oracle,0.9233333333333333,0.6038297872340427,0.7301592856103443,COP-KMeans
dominer,0.15,oracle,0.7790316358024691,0.5528153153153154,0.646711869996393,COP-KMeans
enregistrer,0.15,oracle,0.9125925925925925,0.9199999999999998,0.916281320788279,COP-KMeans
estimer,0.15,oracle,0.7707883153261303,0.7002616431187859,0.7338343411374719,COP-KMeans
appartenir,0.15,oracle,0.6311728395061728,0.6415214233841685,0.6363050530303055,COP-KMeans
arriver,0.15,oracle,0.6079365079365079,0.6752599890530926,0.6398321651564606,COP-KMeans
chercher,0.15,oracle,0.8336666666666666,0.7324102564102563,0.7797650347794581,COP-KMeans
composer,0.15,oracle,0.9795918367346939,1.0,0.989690716650016,COP-KMeans
confier,0.15,oracle,1.0,1.0,0.999999995,COP-KMeans
aboutir,0.2,oracle,0.8355412340374746,0.822594752186589,0.8290174459994738,COP-KMeans
investir,0.2,oracle,0.9693877551020408,1.0,0.984455953550431,COP-KMeans
traduire,0.2,oracle,0.961904761904762,0.963718820861678,0.9628109319042057,COP-KMeans
témoigner,0.2,oracle,0.8136655011655011,0.5042635658914728,0.6226463535910751,COP-KMeans
juger,0.2,oracle,0.7558823529411764,0.6153846153846154,0.6784358967188803,COP-KMeans
justifier,0.2,oracle,0.9479166666666666,0.9583333333333334,0.9530965341622623,COP-KMeans
viser,0.2,oracle,0.561867954911433,0.5583116883116883,0.5600841715205739,COP-KMeans
prononcer,0.2,oracle,0.3656462585034013,0.5670210941519466,0.44459396751889824,COP-KMeans
accomplir,0.2,oracle,0.675705467372134,0.5165598290598291,0.5855111254811299,COP-KMeans
convenir,0.2,oracle,0.5989595838335334,0.6380609386611789,0.6178922729927558,COP-KMeans
acquérir,0.2,oracle,0.7605555555555555,0.8314285714285714,0.7944144723018983,COP-KMeans
achever,0.2,oracle,1.0,1.0,0.999999995,COP-KMeans
observer,0.2,oracle,0.73375,0.8172549019607842,0.7732545263904198,COP-KMeans
adapter,0.2,oracle,0.6733333333333333,0.8158974358974359,0.7377915469282823,COP-KMeans
admettre,0.2,oracle,0.9468085106382979,0.9601063829787234,0.9534110754477342,COP-KMeans
entraîner,0.2,oracle,0.8763888888888888,0.8760964912280702,0.8762426606655824,COP-KMeans
payer,0.2,oracle,0.7658181818181817,0.8,0.7825359912866373,COP-KMeans
respecter,0.2,oracle,1.0,1.0,0.999999995,COP-KMeans
affecter,0.2,oracle,0.9041666666666668,0.9280303030303031,0.9159430726660678,COP-KMeans
demeurer,0.2,oracle,0.8155879446640316,0.8115089514066496,0.8135433301911298,COP-KMeans
aggraver,0.2,oracle,1.0,1.0,0.999999995,COP-KMeans
agir,0.2,oracle,0.5497835497835498,0.7015076754385965,0.6164470255153145,COP-KMeans
ajouter,0.2,oracle,0.7649350649350649,0.7977142857142856,0.7809808704480203,COP-KMeans
alimenter,0.2,oracle,0.5266022198353025,0.537466599543043,0.5319789408210588,COP-KMeans
coûter,0.2,oracle,0.39001260239445495,0.5701863354037267,0.46319537639673736,COP-KMeans
relancer,0.2,oracle,0.5041666666666668,0.543233082706767,0.5229713107728161,COP-KMeans
préférer,0.2,oracle,0.7047058823529412,0.6850196078431371,0.6947233063019331,COP-KMeans
appliquer,0.2,oracle,0.4548611111111111,0.5309992283950618,0.4899900866241464,COP-KMeans
apporter,0.2,oracle,0.33412587412587413,0.5128571428571429,0.40463347127327287,COP-KMeans
fonder,0.2,oracle,0.8696666666666668,0.7353333333333333,0.7968783612517099,COP-KMeans
appuyer,0.2,oracle,0.6985589934898689,0.7292455443715947,0.7135725043686031,COP-KMeans
changer,0.2,oracle,0.4484228473998296,0.6068236714975845,0.515734648143096,COP-KMeans
chuter,0.2,oracle,0.5828877005347594,0.5067193675889329,0.5421412781182599,COP-KMeans
soutenir,0.2,oracle,0.5551839464882944,0.5273993187737929,0.5409350797539085,COP-KMeans
concevoir,0.2,oracle,0.98,0.9733333333333333,0.9766552851024475,COP-KMeans
interroger,0.2,oracle,1.0,1.0,0.999999995,COP-KMeans
confirmer,0.2,oracle,0.3668478260869565,0.5400584795321638,0.43691233761218373,COP-KMeans
transformer,0.2,oracle,1.0,1.0,0.999999995,COP-KMeans
manifester,0.2,oracle,0.7762237762237761,0.7478923193208907,0.7617947191819193,COP-KMeans
interpeller,0.2,oracle,1.0,1.0,0.999999995,COP-KMeans
signer,0.2,oracle,0.856,0.8623333333333332,0.8591549901504074,COP-KMeans
rester,0.2,oracle,0.4383287079864322,0.5252095422308188,0.4778521612961656,COP-KMeans
tuer,0.2,oracle,0.7280788177339901,0.678134110787172,0.7022195118845219,COP-KMeans
indiquer,0.2,oracle,0.948936170212766,0.9361702127659575,0.9425099609000421,COP-KMeans
conduire,0.2,oracle,0.29137115839243494,0.5025329280648431,0.3688697464441788,COP-KMeans
situer,0.2,oracle,1.0,1.0,0.999999995,COP-KMeans
aider,0.2,oracle,0.39632653061224493,0.5731778425655978,0.46862209126529414,COP-KMeans
poursuivre,0.2,oracle,0.9607201309328969,1.0,0.9799666060203708,COP-KMeans
profiter,0.2,oracle,0.8480000000000001,0.7499224806201549,0.7959513271749307,COP-KMeans
détenir,0.2,oracle,0.5136054421768707,0.5217391304347827,0.5176403320950094,COP-KMeans
lire,0.2,oracle,0.7724444444444444,0.8451428571428571,0.8071600217008398,COP-KMeans
contenir,0.2,oracle,0.5300680272108843,0.5800777453838678,0.5539464653117676,COP-KMeans
noter,0.2,oracle,1.0,1.0,0.999999995,COP-KMeans
dater,0.2,oracle,1.0,1.0,0.999999995,COP-KMeans
adopter,0.2,oracle,0.6875,0.644361111111111,0.6652319177532799,COP-KMeans
intervenir,0.2,oracle,0.596808905380334,0.583167101427037,0.5899091413708097,COP-KMeans
conclure,0.2,oracle,0.45467032967032966,0.5261994949494949,0.48782680310232535,COP-KMeans
disputer,0.2,oracle,0.98,0.98,0.979999995,COP-KMeans
dominer,0.2,oracle,0.8168876262626265,0.7135698198198198,0.7617413394519884,COP-KMeans
enregistrer,0.2,oracle,0.7426455026455027,0.6732275132275132,0.7062347764515837,COP-KMeans
estimer,0.2,oracle,0.8472876330019187,0.8167451596023024,0.8317360955411417,COP-KMeans
appartenir,0.2,oracle,0.5752840909090909,0.6151960784313725,0.5945710358778096,COP-KMeans
arriver,0.2,oracle,0.814246618187505,0.781593556963015,0.7975860195477552,COP-KMeans
chercher,0.2,oracle,0.98,0.9630769230769232,0.9714647614295164,COP-KMeans
composer,0.2,oracle,0.9795918367346939,1.0,0.989690716650016,COP-KMeans
confier,0.2,oracle,1.0,1.0,0.999999995,COP-KMeans
aboutir,0.25,oracle,0.9642857142857143,1.0,0.9818181768198347,COP-KMeans
investir,0.25,oracle,0.718562424969988,0.8259303721488596,0.7685144642075127,COP-KMeans
traduire,0.25,oracle,1.0,1.0,0.999999995,COP-KMeans
témoigner,0.25,oracle,1.0,1.0,0.999999995,COP-KMeans
juger,0.25,oracle,0.8112745098039217,0.7997737556561084,0.8054830776423227,COP-KMeans
justifier,0.25,oracle,0.798611111111111,0.6989087301587302,0.7454409062878511,COP-KMeans
viser,0.25,oracle,0.5703846153846154,0.5648051948051949,0.5675811887607086,COP-KMeans
prononcer,0.25,oracle,0.30948643193541153,0.5265877779683301,0.38985001241391787,COP-KMeans
accomplir,0.25,oracle,0.6840277777777777,0.5731837606837606,0.6237193964032649,COP-KMeans
convenir,0.25,oracle,0.3105590062111801,0.5292174012462127,0.39142139927744724,COP-KMeans
acquérir,0.25,oracle,0.7946666666666666,0.8714285714285714,0.8312792907691594,COP-KMeans
achever,0.25,oracle,1.0,1.0,0.999999995,COP-KMeans
observer,0.25,oracle,0.5402693602693602,0.5539215686274509,0.5470102902213415,COP-KMeans
adapter,0.25,oracle,0.8149743589743589,0.8789743589743588,0.8457653445361099,COP-KMeans
admettre,0.25,oracle,0.6052266419981499,0.6728723404255319,0.6372593508065032,COP-KMeans
entraîner,0.25,oracle,0.8220238095238096,0.788377192982456,0.8048490015645774,COP-KMeans
payer,0.25,oracle,0.6825,0.45402116402116405,0.545294626316701,COP-KMeans
respecter,0.25,oracle,1.0,1.0,0.999999995,COP-KMeans
affecter,0.25,oracle,0.9034722222222221,0.9791666666666666,0.9397977326202801,COP-KMeans
demeurer,0.25,oracle,0.7109099409239662,0.6532821824381927,0.6808788679629809,COP-KMeans
aggraver,0.25,oracle,1.0,1.0,0.999999995,COP-KMeans
agir,0.25,oracle,0.45748050682261204,0.7109649122807017,0.5567270499793457,COP-KMeans
ajouter,0.25,oracle,0.46571428571428575,0.6061904761904762,0.5267474723975453,COP-KMeans
alimenter,0.25,oracle,0.5291545189504373,0.5255392479572474,0.5273406822551729,COP-KMeans
coûter,0.25,oracle,0.4030434782608694,0.6221532091097308,0.48918377137553753,COP-KMeans
relancer,0.25,oracle,0.6410314579552329,0.675360275689223,0.6577482489696319,COP-KMeans
préférer,0.25,oracle,0.6533333333333333,0.6003137254901961,0.6257023640446455,COP-KMeans
appliquer,0.25,oracle,0.47465034965034963,0.5610918209876544,0.5142639432791861,COP-KMeans
apporter,0.25,oracle,0.40210526315789474,0.5082467532467533,0.44898827823906046,COP-KMeans
fonder,0.25,oracle,0.8550000000000001,0.7473333333333335,0.7975494021371997,COP-KMeans
appuyer,0.25,oracle,0.8554278854398901,0.8881706528765351,0.8714918284757142,COP-KMeans
changer,0.25,oracle,0.36939799331103673,0.6628019323671498,0.47439976561951036,COP-KMeans
chuter,0.25,oracle,0.7745920745920745,0.7451910408432147,0.7596071631981682,COP-KMeans
soutenir,0.25,oracle,0.5474192728197304,0.4121084618980832,0.47022322340757655,COP-KMeans
concevoir,0.25,oracle,0.98,0.9733333333333333,0.9766552851024475,COP-KMeans
interroger,0.25,oracle,1.0,1.0,0.999999995,COP-KMeans
confirmer,0.25,oracle,0.36690283400809715,0.4816624895572264,0.41652263052374033,COP-KMeans
transformer,0.25,oracle,1.0,1.0,0.999999995,COP-KMeans
manifester,0.25,oracle,0.9244142101284959,0.9244142101284959,0.924414205128496,COP-KMeans
interpeller,0.25,oracle,1.0,1.0,0.999999995,COP-KMeans
signer,0.25,oracle,0.825111111111111,0.7529999999999998,0.7874080074021881,COP-KMeans
rester,0.25,oracle,0.43483466887722216,0.5115151515151516,0.4700682863599222,COP-KMeans
tuer,0.25,oracle,0.6071428571428571,0.5189504373177842,0.5595931526820781,COP-KMeans
indiquer,0.25,oracle,0.9361702127659575,1.0,0.9670329620384013,COP-KMeans
conduire,0.25,oracle,0.2787234042553191,0.5080209388720026,0.35995765321361695,COP-KMeans
situer,0.25,oracle,1.0,1.0,0.999999995,COP-KMeans
aider,0.25,oracle,0.32622139764996905,0.48768221574344023,0.39093664030037073,COP-KMeans
poursuivre,0.25,oracle,0.9607201309328969,1.0,0.9799666060203708,COP-KMeans
profiter,0.25,oracle,0.9657142857142857,1.0,0.9825581345364048,COP-KMeans
détenir,0.25,oracle,0.6754130223517979,0.6808408982322025,0.6781160938169075,COP-KMeans
lire,0.25,oracle,0.6482539682539682,0.5556190476190476,0.5983724939685293,COP-KMeans
contenir,0.25,oracle,0.5222192773213181,0.5488824101068999,0.5352189735645866,COP-KMeans
noter,0.25,oracle,1.0,1.0,0.999999995,COP-KMeans
dater,0.25,oracle,1.0,1.0,0.999999995,COP-KMeans
adopter,0.25,oracle,0.5725757575757575,0.5431111111111112,0.5574543571907223,COP-KMeans
intervenir,0.25,oracle,0.5422634508348794,0.526776123983428,0.5344075988677724,COP-KMeans
conclure,0.25,oracle,0.41384057971014493,0.5271915584415584,0.46368928116274655,COP-KMeans
disputer,0.25,oracle,0.8874012474012473,0.6425531914893616,0.7453849414442029,COP-KMeans
dominer,0.25,oracle,0.7821296296296296,0.5415540540540541,0.6399798890669719,COP-KMeans
enregistrer,0.25,oracle,0.7059454191033139,0.5834920634920634,0.6389042534760848,COP-KMeans
estimer,0.25,oracle,1.0,1.0,0.999999995,COP-KMeans
appartenir,0.25,oracle,0.5524607487922705,0.6183732752360204,0.5835617222274321,COP-KMeans
arriver,0.25,oracle,0.826530612244898,0.8387755102040817,0.8326080382175575,COP-KMeans
chercher,0.25,oracle,0.6365473684210525,0.6090256410256409,0.6224824446952587,COP-KMeans
composer,0.25,oracle,0.9795918367346939,1.0,0.989690716650016,COP-KMeans
confier,0.25,oracle,1.0,1.0,0.999999995,COP-KMeans
aboutir,0.3,oracle,0.9642857142857143,1.0,0.9818181768198347,COP-KMeans
investir,0.3,oracle,0.942857142857143,0.9603841536614647,0.9515399398543591,COP-KMeans
traduire,0.3,oracle,1.0,1.0,0.999999995,COP-KMeans
témoigner,0.3,oracle,1.0,1.0,0.999999995,COP-KMeans
juger,0.3,oracle,0.704912734324499,0.7458521870286576,0.724804815994403,COP-KMeans
justifier,0.3,oracle,0.9416666666666668,0.96875,0.9550163526891183,COP-KMeans
viser,0.3,oracle,0.52,0.512987012987013,0.5164696957797125,COP-KMeans
prononcer,0.3,oracle,0.3200236616385685,0.5364088492539874,0.40088044273397705,COP-KMeans
accomplir,0.3,oracle,0.7411458333333334,0.5980235042735043,0.6619366388870348,COP-KMeans
convenir,0.3,oracle,0.4304267161410018,0.5640027439547248,0.48824347281577946,COP-KMeans
acquérir,0.3,oracle,0.7661111111111112,0.8414285714285714,0.8020054257688135,COP-KMeans
achever,0.3,oracle,1.0,1.0,0.999999995,COP-KMeans
observer,0.3,oracle,0.6514770797962649,0.7894117647058824,0.7138422503866179,COP-KMeans
adapter,0.3,oracle,0.29262479871175523,0.527912087912088,0.3765343620704851,COP-KMeans
admettre,0.3,oracle,0.6654196866962825,0.759498480243161,0.7093533494747255,COP-KMeans
entraîner,0.3,oracle,0.8194444444444443,0.6582602339181287,0.730061555506902,COP-KMeans
payer,0.3,oracle,0.4546031746031746,0.6066666666666666,0.5197407469223752,COP-KMeans
respecter,0.3,oracle,1.0,1.0,0.999999995,COP-KMeans
affecter,0.3,oracle,0.881712962962963,0.6919642857142857,0.7753989927191592,COP-KMeans
demeurer,0.3,oracle,0.6402736131934033,0.6021312872975277,0.6206169529424078,COP-KMeans
aggraver,0.3,oracle,1.0,1.0,0.999999995,COP-KMeans
agir,0.3,oracle,0.6668402777777778,0.6776315789473685,0.6721926155835801,COP-KMeans
ajouter,0.3,oracle,0.9377777777777778,0.9733333333333334,0.9552248012032811,COP-KMeans
alimenter,0.3,oracle,0.5245578231292517,0.5137667970413973,0.5191062309825608,COP-KMeans
coûter,0.3,oracle,0.3308695652173913,0.5167701863354036,0.40343441784014433,COP-KMeans
relancer,0.3,oracle,0.5537918871252204,0.5776942355889724,0.5654905909288582,COP-KMeans
préférer,0.3,oracle,0.6261904761904762,0.5690196078431373,0.596237700761907,COP-KMeans
appliquer,0.3,oracle,0.44274475524475526,0.5191358024691358,0.477906845231858,COP-KMeans
apporter,0.3,oracle,0.44822742474916394,0.6870779220779221,0.5425274632292589,COP-KMeans
fonder,0.3,oracle,0.7973333333333332,0.682,0.7351707926869933,COP-KMeans
appuyer,0.3,oracle,0.7898359343737493,0.8540954843475851,0.8207097852600599,COP-KMeans
changer,0.3,oracle,0.4478350886668467,0.6814613526570048,0.5404821823931528,COP-KMeans
chuter,0.3,oracle,0.6027183600713013,0.5301712779973649,0.5641219579969358,COP-KMeans
soutenir,0.3,oracle,0.6130434782608696,0.69344820677219,0.650771684641484,COP-KMeans
concevoir,0.3,oracle,1.0,1.0,0.999999995,COP-KMeans
interroger,0.3,oracle,1.0,1.0,0.999999995,COP-KMeans
confirmer,0.3,oracle,0.44097222222222227,0.7182957393483709,0.5464628992795684,COP-KMeans
transformer,0.3,oracle,1.0,1.0,0.999999995,COP-KMeans
manifester,0.3,oracle,0.6182969739619986,0.7939415082272225,0.6951965050587843,COP-KMeans
interpeller,0.3,oracle,1.0,1.0,0.999999995,COP-KMeans
signer,0.3,oracle,0.768349146110057,0.6679999999999999,0.7146691699830552,COP-KMeans
rester,0.3,oracle,0.4336170212765956,0.5432366215344939,0.48227622428454403,COP-KMeans
tuer,0.3,oracle,0.6704761904761904,0.5965014577259475,0.6313292462585475,COP-KMeans
indiquer,0.3,oracle,0.9392097264437691,0.9645390070921986,0.9517058593696645,COP-KMeans
conduire,0.3,oracle,0.39739952718676114,0.5976865923674435,0.4773865541048127,COP-KMeans
situer,0.3,oracle,1.0,1.0,0.999999995,COP-KMeans
aider,0.3,oracle,0.3129251700680272,0.5514577259475218,0.3992790729120495,COP-KMeans
poursuivre,0.3,oracle,0.9590228526398739,1.0,0.9790828590408039,COP-KMeans
profiter,0.3,oracle,0.8064912280701755,0.732248062015504,0.7675785479112763,COP-KMeans
détenir,0.3,oracle,0.5022332165189308,0.5055627602211453,0.5038924833177405,COP-KMeans
lire,0.3,oracle,0.723878787878788,0.8022857142857143,0.7610681623908861,COP-KMeans
contenir,0.3,oracle,0.5033130135170951,0.5290573372206026,0.5158641759718007,COP-KMeans
noter,0.3,oracle,1.0,1.0,0.999999995,COP-KMeans
dater,0.3,oracle,1.0,1.0,0.999999995,COP-KMeans
adopter,0.3,oracle,0.767,0.6010277777777777,0.6739458213847896,COP-KMeans
intervenir,0.3,oracle,0.5757911860396332,0.5598434862666871,0.5677053545060876,COP-KMeans
conclure,0.3,oracle,0.4692028985507246,0.5148809523809524,0.4909818052233521,COP-KMeans
disputer,0.3,oracle,0.98,0.98,0.979999995,COP-KMeans
dominer,0.3,oracle,0.6969288793103449,0.5392454954954955,0.608030328840465,COP-KMeans
enregistrer,0.3,oracle,0.7722222222222223,0.5259259259259259,0.6257092993486334,COP-KMeans
estimer,0.3,oracle,0.7045038705137227,0.5605442176870747,0.6243328953520132,COP-KMeans
appartenir,0.3,oracle,0.6671401515151515,0.703068264342774,0.6846331690092341,COP-KMeans
arriver,0.3,oracle,0.5567655633682044,0.6526389866291344,0.600902171341943,COP-KMeans
chercher,0.3,oracle,0.4735897435897436,0.5505641025641026,0.5091842609317533,COP-KMeans
composer,0.3,oracle,1.0,1.0,0.999999995,COP-KMeans
confier,0.3,oracle,1.0,1.0,0.999999995,COP-KMeans
aboutir,0.4,oracle,0.697278911564626,0.5498542274052478,0.6148529650118396,COP-KMeans
investir,0.4,oracle,0.7068385248836379,0.7711084433773508,0.7375760601148107,COP-KMeans
traduire,0.4,oracle,0.7798392084106368,0.7693553611920958,0.7745618061901272,COP-KMeans
témoigner,0.4,oracle,1.0,1.0,0.999999995,COP-KMeans
juger,0.4,oracle,0.9529411764705882,1.0,0.9759036094607345,COP-KMeans
justifier,0.4,oracle,0.9375,1.0,0.967741930489074,COP-KMeans
viser,0.4,oracle,0.5511688311688312,0.5511688311688311,0.5511688261688311,COP-KMeans
prononcer,0.4,oracle,0.5124597207303975,0.697793403075516,0.5909359000675621,COP-KMeans
accomplir,0.4,oracle,0.6768840579710145,0.5349893162393162,0.5976296601037602,COP-KMeans
convenir,0.4,oracle,0.4280148423005566,0.5741668095809753,0.4904338720300098,COP-KMeans
acquérir,0.4,oracle,0.8036363636363636,0.92,0.8578902903814382,COP-KMeans
achever,0.4,oracle,1.0,1.0,0.999999995,COP-KMeans
observer,0.4,oracle,0.5979545454545455,0.6856862745098039,0.6388223481646618,COP-KMeans
adapter,0.4,oracle,0.35675324675324677,0.6529120879120879,0.4613974490414654,COP-KMeans
admettre,0.4,oracle,0.6944899072558647,0.7796352583586624,0.7346035835053053,COP-KMeans
entraîner,0.4,oracle,0.8657407407407406,0.8585526315789472,0.862131698525841,COP-KMeans
payer,0.4,oracle,0.579047619047619,0.5903703703703703,0.5846541741094483,COP-KMeans
respecter,0.4,oracle,1.0,1.0,0.999999995,COP-KMeans
affecter,0.4,oracle,0.9583333333333334,0.9583333333333334,0.9583333283333335,COP-KMeans
demeurer,0.4,oracle,0.6673827118061522,0.6161125319693095,0.6407236040085363,COP-KMeans
aggraver,0.4,oracle,1.0,1.0,0.999999995,COP-KMeans
agir,0.4,oracle,0.4230072463768116,0.6466008771929824,0.5114337634164726,COP-KMeans
ajouter,0.4,oracle,0.8731111111111112,0.9010476190476191,0.8868594111937269,COP-KMeans
alimenter,0.4,oracle,0.5547996976568405,0.5518723618479651,0.5533321531019049,COP-KMeans
coûter,0.4,oracle,0.4822993641519161,0.7503105590062111,0.5871675958313745,COP-KMeans
relancer,0.4,oracle,0.8122023809523808,0.8480576441102757,0.8297428392959402,COP-KMeans
préférer,0.4,oracle,1.0,1.0,0.999999995,COP-KMeans
appliquer,0.4,oracle,0.4828260869565217,0.5610918209876544,0.5190250376855116,COP-KMeans
apporter,0.4,oracle,0.3840579710144928,0.5346753246753246,0.44702052069863535,COP-KMeans
fonder,0.4,oracle,0.7955555555555556,0.67,0.7273995401466296,COP-KMeans
appuyer,0.4,oracle,0.8874635568513118,0.9623233908948196,0.9233787012590023,COP-KMeans
changer,0.4,oracle,0.4697722567287784,0.6495772946859903,0.5452334144102811,COP-KMeans
chuter,0.4,oracle,0.7044289044289044,0.6658761528326748,0.6846101937908327,COP-KMeans
soutenir,0.4,oracle,0.5567422810333964,0.5163961797902892,0.5358107921202521,COP-KMeans
concevoir,0.4,oracle,1.0,1.0,0.999999995,COP-KMeans
interroger,0.4,oracle,1.0,1.0,0.999999995,COP-KMeans
confirmer,0.4,oracle,0.3018077601410934,0.5216791979949874,0.3823905813966715,COP-KMeans
transformer,0.4,oracle,1.0,1.0,0.999999995,COP-KMeans
manifester,0.4,oracle,0.6265374836803408,0.7899877899877898,0.6988325133109363,COP-KMeans
interpeller,0.4,oracle,1.0,1.0,0.999999995,COP-KMeans
signer,0.4,oracle,0.7257739130434783,0.5413333333333333,0.620130000230015,COP-KMeans
rester,0.4,oracle,0.4622897669706181,0.6151901998710511,0.5278912652736689,COP-KMeans
tuer,0.4,oracle,1.0,1.0,0.999999995,COP-KMeans
indiquer,0.4,oracle,0.9361702127659575,1.0,0.9670329620384013,COP-KMeans
conduire,0.4,oracle,0.24468085106382972,0.5009287402904423,0.32877170646401116,COP-KMeans
situer,0.4,oracle,1.0,1.0,0.999999995,COP-KMeans
aider,0.4,oracle,0.31306259877688447,0.6187317784256559,0.415760775467464,COP-KMeans
poursuivre,0.4,oracle,1.0,1.0,0.999999995,COP-KMeans
profiter,0.4,oracle,0.98,0.9666666666666667,0.9732876662331114,COP-KMeans
détenir,0.4,oracle,0.63022351797862,0.6364070711896798,0.6333001958660844,COP-KMeans
lire,0.4,oracle,0.6396204933586337,0.652,0.6457509161327322,COP-KMeans
contenir,0.4,oracle,0.5139146567717997,0.5488824101068999,0.5308232804452099,COP-KMeans
noter,0.4,oracle,1.0,1.0,0.999999995,COP-KMeans
dater,0.4,oracle,1.0,1.0,0.999999995,COP-KMeans
